GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
43,-4884.8063,-39227.1239,-4014.7343,196.79460408,-44111.9302,-3817.9396959200003,-47929.86989592
44,-4843.7352,-39148.0831,-4020.6891,196.29142271999999,-43991.818300000006,-3824.39767728,-47816.21597728001
45,-4886.8077,-39149.2614,-4021.3438,195.46637904,-44036.0691,-3825.87742096,-47861.94652096
46,-4865.2899,-39279.4877,-3960.2889,192.63235967999998,-44144.7776,-3767.65654032,-47912.43414032
47,-4909.4415,-39127.944,-4007.9086,193.24779192,-44037.385500000004,-3814.66080808,-47852.046308080004
48,-4880.6384,-39085.7003,-4040.4278,193.58794584,-43966.33869999999,-3846.83985416,-47813.17855415999
49,-4870.4351,-39100.399,-4025.5391,192.81529079999999,-43970.8341,-3832.7238092,-47803.557909200004
50,-4897.8597,-39064.5997,-4083.9812,195.41575511999997,-43962.4594,-3888.56544488,-47851.024844880005
51,-4886.5686,-39342.0832,-3964.3178,194.13980208,-44228.6518,-3770.1779979199996,-47998.82979792
52,-4901.9824,-39274.633,-3906.0093,190.92839328,-44176.6154,-3715.0809067200003,-47891.69630672
53,-4845.4298,-39122.4368,-4028.1245,193.6021104,-43967.8666,-3834.5223895999998,-47802.3889896
54,-4869.5325,-39097.674,-4077.076,193.62340727999998,-43967.2065,-3883.45259272,-47850.65909272
55,-4888.6742,-39106.8803,-4046.7321,194.99535792,-43995.5545,-3851.73674208,-47847.29124208
56,-4863.5466,-39096.1832,-4006.9161,195.01447104,-43959.7298,-3811.90162896,-47771.631428960005
57,-4924.6813,-39133.96,-3997.954,193.31539991999998,-44058.6413,-3804.6386000800003,-47863.27990008
58,-4848.8772,-39157.7933,-4076.6928,197.53240968,-44006.6705,-3879.16039032,-47885.830890319994
59,-4855.2923,-39164.9468,-4051.3462,195.66437832,-44020.2391,-3855.6818216799998,-47875.92092168
60,-4858.5032,-39247.2566,-3953.5703,193.24398743999998,-44105.7598,-3760.3263125599997,-47866.08611256
61,-4932.4011,-39214.8898,-3952.7547,195.49997064000002,-44147.2909,-3757.25472936,-47904.54562936
62,-4891.0919,-39221.3552,-3950.5522,194.18999544,-44112.4471,-3756.36220456,-47868.809304559996
63,-4828.6869,-39290.3058,-3977.8926,195.59088792,-44118.9927,-3782.30171208,-47901.29441208
64,-4828.9972,-39083.5157,-4064.6362,195.22470168,-43912.5129,-3869.4114983199997,-47781.92439832
65,-4808.674,-39224.9012,-4026.8414,195.8054976,-44033.5752,-3831.0359024,-47864.6111024
66,-4921.3648,-39229.297,-3937.9422,191.46237624,-44150.6618,-3746.47982376,-47897.14162376
67,-4850.9702,-39242.0846,-3932.0192,193.66388568,-44093.0548,-3738.35531432,-47831.41011432
68,-4867.7917,-39156.6082,-3974.1065,197.15813352,-44024.399900000004,-3776.94836648,-47801.34826648
69,-4864.2034,-39362.0603,-3883.5121,194.33848464,-44226.263699999996,-3689.17361536,-47915.437315359995
70,-4875.0639,-39234.8844,-4017.0245,194.63560847999997,-44109.948300000004,-3822.38889152,-47932.337191520004
71,-4823.5055,-39254.6051,-4011.2055,194.49304128,-44078.1106,-3816.71245872,-47894.823058719994
72,-4932.5756,-39200.8185,-4012.5335,194.53581504,-44133.394100000005,-3817.99768496,-47951.391784960004
73,-4831.9106,-39247.9304,-3969.4038,193.69785312,-44079.841,-3775.70594688,-47855.54694688
74,-4850.8621,-39402.5315,-3956.7477,197.07116544000002,-44253.393599999996,-3759.6765345599997,-48013.070134559995
75,-4834.446,-39318.1437,-3928.0328,192.64106519999999,-44152.5897,-3735.3917348,-47887.9814348
76,-4866.6056,-39276.3501,-3926.6446,194.03222472,-44142.955700000006,-3732.61237528,-47875.56807528
77,-4855.0668,-39307.43,-3962.8785,197.50174632,-44162.4968,-3765.3767536799996,-47927.87355368
78,-4806.326,-39379.9049,-3917.5581,196.85481768,-44186.2309,-3720.70328232,-47906.93418232
79,-4849.529,-39319.0732,-3915.8236,196.87483727999998,-44168.6022,-3718.94876272,-47887.55096272001
80,-4866.1482,-39304.1852,-3927.138,194.28948072,-44170.3334,-3732.84851928,-47903.18191928
81,-4852.7231,-39278.4359,-3966.7413,198.68270615999998,-44131.159,-3768.05859384,-47899.21759384
82,-4864.3866,-39336.3648,-3907.5443,195.84222984000002,-44200.7514,-3711.70207016,-47912.453470160006
83,-4894.5698,-39108.1974,-4025.7597,192.23350416,-44002.767199999995,-3833.52619584,-47836.293395839995
84,-4854.1177,-39197.817,-3986.7558,195.1266384,-44051.934700000005,-3791.6291616,-47843.56386160001
85,-4846.4841,-39285.5126,-3908.8337,195.06270456000001,-44131.9967,-3713.77099544,-47845.76769544001
86,-4809.9008,-39412.9906,-3935.9288,195.77550816,-44222.8914,-3740.1532918400003,-47963.044691840005
87,-4834.2371,-39235.1636,-3893.7045,194.55697512,-44069.4007,-3699.1475248799998,-47768.548224879996
88,-4813.9328,-39463.9897,-3835.479,196.2914652,-44277.9225,-3639.1875348,-47917.110034799996
89,-4845.8088,-39473.8155,-3838.2196,195.16801031999998,-44319.624299999996,-3643.05158968,-47962.675889679995
90,-4832.3968,-39351.5607,-3827.5173,192.98492712,-44183.957500000004,-3634.53237288,-47818.48987288
91,-4868.293,-39380.9753,-3801.3597,195.78992112,-44249.268299999996,-3605.56977888,-47854.83807888
92,-4869.6347,-39282.4279,-3941.9174,194.8196088,-44152.062600000005,-3747.0977912,-47899.16039120001
93,-4856.8421,-39108.5113,-3985.769,198.09074807999997,-43965.3534,-3787.6782519199996,-47753.03165192
94,-4799.0774,-39418.1551,-3866.8244,197.63963855999998,-44217.232500000006,-3669.18476144,-47886.41726144
95,-4869.7355,-39307.2307,-3883.1199,193.06078055999998,-44176.9662,-3690.0591194400004,-47867.02531944
96,-4818.1971,-39225.8084,-3969.3581,195.47212896,-44044.0055,-3773.8859710399997,-47817.89147104
97,-4889.4804,-39138.615,-3925.7126,192.91159943999997,-44028.0954,-3732.80100056,-47760.89640056
98,-4867.0772,-39191.9557,-3967.0711,195.07450968,-44059.0329,-3771.99659032,-47831.02949032
99,-4844.8335,-39196.6589,-4012.0749,196.19423496,-44041.4924,-3815.88066504,-47857.37306504

Ligand Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-7.0152,-63.0767,-36.7804,4.384012319999999,-70.09190000000001,-32.396387680000004,-102.48828768000001
1,-6.9822,-65.298,-35.0593,4.42135296,-72.28020000000001,-30.63794704,-102.91814704000001
2,-7.6971,-60.534,-34.6767,4.41707544,-68.2311,-30.25962456,-98.49072455999999
3,-6.3334,-62.6697,-34.9905,4.4160732,-69.0031,-30.574426799999998,-99.5775268
4,-4.455,-65.1583,-34.6953,4.36533192,-69.6133,-30.329968080000004,-99.94326808
5,-6.2021,-63.788,-36.5467,4.37646528,-69.9901,-32.17023472,-102.16033472
6,-6.927,-64.8186,-34.7147,4.393295999999999,-71.7456,-30.321404,-102.067004
7,-7.019,-61.9325,-37.3511,4.31864784,-68.9515,-33.032452160000005,-101.98395216
8,-7.0866,-65.4059,-33.788,4.3980516,-72.4925,-29.389948399999998,-101.8824484
9,-7.8112,-71.0152,-36.5589,4.37846616,-78.82639999999999,-32.18043384,-111.00683384
10,-5.5775,-63.6939,-37.2566,4.31023608,-69.2714,-32.946363919999996,-102.21776392
11,-8.4505,-63.9254,-34.6687,4.384680479999999,-72.3759,-30.28401952,-102.65991952
12,-9.3796,-63.1893,-35.8762,4.4331732,-72.5689,-31.4430268,-104.0119268
13,-7.3797,-65.974,-35.2904,4.375341359999999,-73.3537,-30.915058639999998,-104.26875864000002
14,-7.5893,-58.4008,-39.2962,4.40719992,-65.9901,-34.88900008,-100.87910008
15,-6.0456,-66.7946,-33.8575,4.38309144,-72.84020000000001,-29.47440856,-102.31460856000001
16,-9.4641,-60.6006,-37.8887,4.354598879999999,-70.0647,-33.53410112,-103.59880112
17,-7.3953,-60.8264,-35.2945,4.4121542400000004,-68.2217,-30.88234576,-99.10404575999999
18,-9.1027,-58.7417,-35.495,4.33128168,-67.84440000000001,-31.163718319999997,-99.00811832000001
19,-8.5776,-61.4919,-36.605,4.3836048,-70.0695,-32.221395199999996,-102.2908952
20,-8.1752,-61.6028,-35.6986,4.3722791999999995,-69.778,-31.326320799999998,-101.10432080000001
21,-7.7866,-64.2346,-34.1869,4.391704079999999,-72.0212,-29.79519592,-101.81639592
22,-9.2869,-61.3645,-35.8861,4.396266,-70.6514,-31.489834,-102.141234
23,-5.4481,-61.2417,-36.4264,4.32961344,-66.6898,-32.09678656,-98.78658656
24,-7.7895,-61.1498,-35.8933,4.4016948,-68.9393,-31.491605200000002,-100.43090520000001
25,-6.4896,-63.5178,-35.785,4.3715044800000005,-70.0074,-31.413495519999998,-101.42089552
26,-7.6732,-62.772,-36.804,4.35622104,-70.4452,-32.44777896,-102.89297896000001
27,-6.7393,-67.1939,-33.6953,4.419885600000001,-73.9332,-29.275414400000003,-103.2086144
28,-9.8345,-63.1402,-35.7416,4.3914203999999994,-72.9747,-31.350179599999997,-104.32487959999999
29,-5.9652,-59.3788,-37.0529,4.29159528,-65.344,-32.76130472,-98.10530471999999
30,-4.3245,-63.4993,-33.7628,4.3346016,-67.82379999999999,-29.4281984,-97.25199839999999
31,-7.9292,-65.6185,-33.7526,4.389995519999999,-73.54769999999999,-29.36260448,-102.91030448
32,-7.9477,-63.3485,-35.2909,4.36863528,-71.2962,-30.92226472,-102.21846471999999
33,-9.1791,-64.2332,-34.444,4.40006256,-73.4123,-30.04393744,-103.45623744000001
34,-5.3878,-64.103,-36.9975,4.36680072,-69.4908,-32.63069928,-102.12149928
35,-7.4924,-67.5375,-35.0107,4.39483248,-75.0299,-30.615867520000002,-105.64576751999999
36,-8.6059,-64.8844,-32.7279,4.38466752,-73.4903,-28.343232479999998,-101.83353248
37,-5.4031,-65.6066,-34.8598,4.397427359999999,-71.0097,-30.46237264,-101.47207264
38,-8.006,-64.5754,-36.525,4.3791588,-72.5814,-32.1458412,-104.72724120000001
39,-8.4632,-64.5121,-35.9174,4.36738104,-72.9753,-31.550018960000003,-104.52531896
40,-7.4123,-66.4206,-35.4623,4.391544959999999,-73.8329,-31.07075504,-104.90365503999999
